t,acc
2.94 , 0.14
2.95 , 0.081
2.96 , -0.03
2.97 , -0.17
2.98 , -0.33
2.99 , -0.45
3.0 , -0.51
3.0100000000000002 , -0.51
3.02 , -0.47
3.0300000000000002 , -0.41
3.04 , -0.35
3.0500000000000003 , -0.31
3.06 , -0.27
3.0700000000000003 , -0.24
3.08 , -0.21
3.09 , -0.19
3.1 , -0.17
3.11 , -0.15
3.12 , -0.13
3.13 , -0.12
3.14 , -0.15
3.15 , -0.24
3.16 , -0.4
3.17 , -0.59
3.18 , -0.75
3.19 , -0.84
3.2 , -0.81
3.21 , -0.7
3.22 , -0.53
3.23 , -0.36
3.24 , -0.22
3.25 , -0.11
3.2600000000000002 , -0.026
3.27 , 0.019
3.2800000000000002 , 0.03
3.29 , 0.007
3.3000000000000003 , -0.028
3.31 , -0.06
3.3200000000000003 , -0.038
3.33 , 0.023
3.34 , 0.11
3.35 , 0.19
3.36 , 0.21
3.37 , 0.16
3.38 , 0.072
3.39 , -0.0082
3.4 , -0.037
3.41 , -0.03
3.42 , -0.025
3.43 , -0.045
3.44 , -0.1
3.45 , -0.13
3.46 , -0.12
3.47 , -0.039
3.48 , 0.084
3.49 , 0.22
3.5 , 0.34
3.5100000000000002 , 0.42
3.52 , 0.48
3.5300000000000002 , 0.5
3.54 , 0.48
3.5500000000000003 , 0.38
3.56 , 0.21
3.5700000000000003 , -0.0043
3.58 , -0.24
3.59 , -0.45
3.6 , -0.63
3.61 , -0.78
3.62 , -0.91
3.63 , -1.0
3.64 , -1.1
3.65 , -1.2
3.66 , -1.3
3.67 , -1.2
3.68 , -1.1
3.69 , -0.93
3.7 , -0.74
3.71 , -0.56
3.72 , -0.4
3.73 , -0.27
3.74 , -0.17
3.75 , -0.11
3.7600000000000002 , -0.066
3.77 , -0.05
3.7800000000000002 , -0.04
3.79 , -0.02
3.8000000000000003 , 0.035
3.81 , 0.14
3.8200000000000003 , 0.29
3.83 , 0.48
3.84 , 0.66
3.85 , 0.8
3.86 , 0.89
3.87 , 0.93
3.88 , 0.95
3.89 , 0.95
3.9 , 0.96
3.91 , 0.91
3.92 , 0.83
3.93 , 0.67
3.94 , 0.45
3.95 , 0.17
3.96 , -0.15
3.97 , -0.47
3.98 , -0.73
3.99 , -0.87
4.0 , -0.86
4.01 , -0.71
4.0200000000000005 , -0.48
4.03 , -0.27
4.04 , -0.13
4.05 , -0.1
4.0600000000000005 , -0.19
4.07 , -0.36
4.08 , -0.57
4.09 , -0.74
4.1 , -0.82
4.11 , -0.77
4.12 , -0.62
4.13 , -0.47
